rank,view,like,dm,coin,collect,share,fan,deltatime,tag,c_pts
1,3328626,745819,36229,897000,222000,29000,1456000.0,208380.7857966423,10,6798647
2,1736874,187676,43320,152000,34000,25000,301000.0,129529.1333796978,10,3146634
3,2148269,291256,9237,115000,24000,5282,7540000.0,170585.4216759205,10,2886807
4,3243078,383665,14301,211000,64000,13000,6230000.0,269589.78780293465,10,2818373
5,1305294,194690,20726,111000,37000,9166,Non,208382.08774352074,10,2454988
6,1163254,202447,4744,225000,31000,4091,1100000.0,173703.4803392887,10,2433896
7,1933613,214887,13347,48000,27000,1991,13636000.0,188593.78017544746,10,2412778
8,2014355,256480,26837,223000,40000,7655,4190000.0,270002.11526298523,10,2385399
9,1718170,194082,12428,83000,24000,6764,Non,183680.45009422302,10,2382437
10,1395673,163123,3658,129000,48000,19000,Non,188322.74583148956,0.8,2334315
11,1398713,137193,5329,61000,64000,11000,Non,178425.09871530533,10,2201314
12,1513639,163674,3698,48000,29000,5761,Non,120195.40202212334,10,2157167
13,1523953,172692,9353,101000,31000,12000,745000.0,261662.9051759243,10,2145874
14,1348663,161912,2281,98000,27000,10000,2170000.0,208881.24055099487,10,2143597
15,1043475,144398,7530,122000,31000,20000,490000.0,85406.54238200188,5.6,2100840
16,1757157,145136,25450,86000,24000,5045,2172000.0,256745.8347196579,10,2085825
17,1427988,197662,13084,50000,12000,1390,5067000.0,100385.15462112427,10,2039221
18,1004080,118598,1292,68000,51000,9148,1186000.0,206590.46164798737,0.8,2009779
19,1372419,183908,10700,38000,15000,3012,3341000.0,179563.74488782883,10,2000355
20,895213,144353,4678,114000,23000,1614,3153000.0,191946.0310382843,10,1998103
21,1179747,151285,7641,72000,20000,2047,5501000.0,119506.37259483337,10,1955469
22,1865205,142648,15572,36000,15000,2401,6307000.0,211997.6633989811,10,1836514
23,888087,114695,2245,71000,23000,4512,Non,205687.02360510826,10,1808395
24,1149381,80754,2001,44000,34000,5177,281000.0,259126.30506920815,10,1660652
25,1843367,322981,5456,315000,74000,14000,234000.0,359504.59041023254,10,1648792
26,1739165,171044,11990,157000,100000,70000,Non,356806.87838315964,10,1642001
27,1724884,167319,3147,158000,62000,5997,160000.0,378430.1631486416,10,1634984
28,1162648,142519,1551,26000,8836,2582,1014000.0,190151.50039863586,10,1605392
29,1194837,85646,1458,23000,41000,33000,Non,260777.81740689278,10,1593235
30,973676,109746,9812,124000,46000,13000,Non,354917.1116220951,10,1573663
31,1131669,96808,17837,44000,15000,2519,Non,254900.446246624,0.1,1546486
32,1488414,109742,7058,26000,13000,3300,5121000.0,261257.72623682022,10,1531414
33,737539,80829,9720,72000,16000,4597,Non,120202.02231502533,10,1526520
34,858923,118585,6333,35000,14000,3794,4846000.0,15800.370807886124,10,1523495
35,1226361,144107,6067,40000,16000,4842,3532000.0,268089.74041581154,10,1486244
36,618663,104971,3942,43000,12000,1739,Non,184994.02332234383,10,1470267
37,544080,75420,25392,37000,14000,1096,492000.0,213808.36464238167,10,1456489
38,1747356,125586,7503,7414,6191,837,4080000.0,192360.70587325096,10,1427733
39,640978,65045,3922,44000,22000,7529,15000.0,181398.06067061424,10,1423508
40,1481397,115177,20096,23000,4826,1548,6155000.0,121994.43154859543,10,1408615
41,1298969,176439,12941,34000,10000,3904,1046000.0,273159.7675602436,10,1355209
42,1125606,51542,10524,11000,35000,21000,Non,260657.1130657196,10,1347945
43,1503002,83306,2571,13000,18000,21000,Non,269214.4466600418,10,1346561
44,509502,91491,4428,53000,13000,374,2089000.0,215598.8520169258,10,1345122
45,1189344,98120,9255,17000,8089,3849,4823000.0,203939.1251358986,0.1,1340210
46,2757181,347498,12006,301000,60000,20000,797000.0,465311.4565963745,10,1335210
47,494161,44442,2889,29000,49000,3496,890000.0,176825.81927537918,10,1321398
48,315567,55714,946,61000,31000,4390,802000.0,94697.18052649498,10,1320078
49,699774,73428,4155,51000,11000,4287,1369000.0,257047.5469098091,10,1311912
50,1083956,64462,1818,15000,20000,5885,44000.0,200057.84859848022,10,1309958
