rank,view,like,dm,coin,collect,share,fan,deltatime,tag,c_pts
1,2209076,285604,9760,249000,47000,16000,790000.0,220347.147023201,游戏,3068584
2,1776804,271961,2939,180000,30000,3972,1046000.0,192931.64316606522,生活,2816819
3,1333148,235146,4158,230000,53000,10000,219000.0,114548.10821008682,生活,2742378
4,1928239,218403,13861,60000,20000,4300,7529000.0,184831.58027791977,影视,2350365
5,1374387,209821,8433,112000,32000,6544,6191000.0,24641.062313318253,美食,2327617
6,1298437,175125,4146,92000,26000,7634,1281000.0,222642.54841136932,动画,2190546
7,1650673,168492,8086,84000,21000,6050,Non,129658.00544691086,游戏,2147770
8,274166,60220,11973,63000,27000,7435,Non,18901.48149204254,音乐,2143637
9,1096722,115720,6274,104000,64000,49000,Non,111852.96951580048,音乐,2134379
10,1023831,90880,14399,93000,31000,23000,419000.0,141648.61764526367,游戏,2100917
11,1277680,128640,5038,129000,62000,61000,108000.0,265309.0856795311,生活,2065903
12,979585,152412,4348,109000,22000,4791,1467000.0,51940.57074832916,游戏,2014115
13,1063375,154821,8347,74000,21000,2655,5475000.0,179327.12579369545,影视,1985400
14,2924970,330647,18793,250000,112000,61000,403000.0,393650.61887288094,生活,1977688
15,1488716,179335,13422,30000,11000,4464,992000.0,201788.12879371643,生活,1889517
16,1656603,129464,15472,84000,44000,31000,5106000.0,269410.62088513374,知识,1886635
17,1055156,104736,2066,96000,35000,3829,155000.0,133480.10081410408,影视,1874307
18,693292,122886,3351,74000,30000,1936,2119000.0,48043.56783795357,游戏,1845923
19,793719,132113,15040,114000,21000,3959,4172000.0,25059.135166168213,美食,1781094
20,1330682,184153,14793,98000,40000,5528,1213000.0,290593.7272372246,资讯,1768283
21,1335252,118754,3469,69000,50000,7633,Non,288927.23069787025,音乐,1735052
22,808541,88049,4747,102000,18000,7983,23000.0,190283.64864873886,生活,1610734
23,819304,81141,922,71000,22000,7440,218000.0,193217.13276529312,游戏,1577392
24,822949,74063,245,12000,61000,3273,Non,179934.59883260727,动画,1556184
25,1197805,126391,4526,20000,13000,2531,1183000.0,195344.08085536957,生活,1539073
26,834265,91185,8989,60000,14000,2410,5850000.0,82258.56994056702,娱乐,1495045
27,1394566,129708,8839,20000,6819,1984,Non,201046.04349565506,美食,1485344
28,702292,85664,8334,43000,22000,2302,4927000.0,48048.555181741714,游戏,1464317
29,1018148,97485,2188,40000,12000,5089,1132000.0,202336.03117609024,动画,1456842
30,1401519,117901,8749,22000,7118,1495,4072000.0,206060.57873678207,美食,1442464
31,783802,109322,10496,27000,9901,3657,Non,47448.116775751114,知识,1405690
32,1033374,71951,6448,52000,15000,6848,1678000.0,219050.66781783104,游戏,1402622
33,809311,102193,12993,25000,17000,2807,Non,21883.21385884285,生活,1397329
34,869130,93170,2693,41000,7431,803,3108000.0,115861.72189640999,美食,1353155
35,549760,68427,5414,88000,28000,6388,Non,109975.19794845581,知识,1352646
36,492577,48338,899,39000,35000,2748,160000.0,195648.65767240524,动画,1312155
37,888997,144334,1659,151000,21000,3265,1429000.0,286358.1136946678,生活,1307362
38,1184768,87635,10207,20000,9037,1285,6296000.0,193544.55632019043,知识,1296533
39,1869309,185331,18065,193000,86000,20000,1521000.0,379253.002412796,知识,1294171
40,1249999,96392,5051,20000,5466,1205,3034000.0,202864.5220503807,美食,1281846
41,863663,53024,2490,23000,20000,1815,2791000.0,221524.01610088348,舞蹈,1275190
42,1242470,67585,1496,6133,27000,18000,Non,280867.43012976646,生活,1267122
43,676229,45627,2304,28000,24000,18000,138000.0,179071.0101597309,游戏,1228608
44,971627,85229,18372,18000,5701,3902,1941000.0,203358.51324105263,影视,1211270
45,534339,63818,5578,21000,15000,5673,Non,140453.96726202965,音乐,1200352
46,853033,66421,2599,25000,11000,4619,296000.0,121136.44833874702,音乐,1191531
47,1219784,55724,33034,9004,6149,12000,Non,134465.93140673637,游戏,1156393
48,778649,76500,11459,58000,29000,4667,Non,282933.4254312515,知识,1152486
49,2002583,153394,1328,59000,39000,13000,Non,545290.8690600395,动画,1082231
50,938433,84306,2058,9029,3003,3669,1149000.0,132668.34109425545,生活,1078499
51,808362,62788,1704,18000,7273,6409,564000.0,192607.78712701797,生活,1070933
52,545022,45487,3715,38000,24000,6361,1538000.0,268593.2646384239,数码,1064915
53,618375,72159,2548,17000,7394,3648,156000.0,102347.7047791481,生活,1038390
54,887916,64526,8293,12000,4515,3103,4808000.0,165911.19181466103,资讯,1029055
55,736834,59786,4666,15000,6587,732,7352000.0,46963.647931575775,游戏,1014130
56,892681,62572,6696,13000,4066,1790,5094000.0,221674.14713191986,美食,1008718
57,829806,57054,4661,17000,5289,3389,1079000.0,197043.64675474167,生活,1006663
58,615662,68614,4749,16000,5096,891,3518000.0,200181.14884138107,影视,995778
59,263526,53449,5658,34000,14000,2081,4624000.0,134471.63686537743,游戏,992772
